City Name,News_Source,Country,Coordinates
Most,USAToday,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Most,USAToday,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Maryland,USAToday,"Maryland, United States","(39.5162401, -76.9382069)"
Huntington,USAToday,"Town of Huntington, Suffolk County, New York, United States","(40.868154, -73.425676)"
Florida,USAToday,"Florida, United States","(27.7567667, -81.4639835)"
Buy,USAToday,"Bunbury Airport, Hinkler Drive, Davenport, Bunbury, City Of Bunbury, Western Australia, 6229, Australia","(-33.3787856, 115.67634314872348)"
Rosenberg,USAToday,"Rosenberg, Fort Bend County, Texas, 77471, United States","(29.5571825, -95.8085623)"
Ami,USAToday,"Selaparang Airport, Jalan Rumah Dinas BMG, Rumah Dinas BMG, Kel. Pejarakan Karya, Mataram, Kec. Selaparang, Nusa Tenggara Barat, Nusa Tenggara, 83125, Indonesia","(-8.5618359, 116.10222973992147)"
Bradley,USAToday,"Bradley County, East Tennessee, Tennessee, United States","(35.1694469, -84.855938)"
Livingston,USAToday,"Livingston County, Michigan, United States","(42.5924563, -83.9147925)"
March,USAToday,"March, Česko","(49.3597062, 17.3094202)"
Oregon,USAToday,"Oregon, United States","(43.9792797, -120.737257)"
Colorado,USAToday,"Colorado, United States","(38.7251776, -105.607716)"
Florida,USAToday,"Florida, United States","(27.7567667, -81.4639835)"
Wyoming,USAToday,"Wyoming, United States","(43.1700264, -107.568534)"
Washington,USAToday,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
New York,USAToday,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Elizabeth,USAToday,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Virginia,USAToday,"Virginia, United States","(37.1232245, -78.4927721)"
Delaware,USAToday,"Delaware, United States","(38.6920451, -75.4013315)"
Donna,USAToday,"Donna, Hidalgo County, Texas, 78537, United States","(26.1702082, -98.0522376)"
Maryland,USAToday,"Maryland, United States","(39.5162401, -76.9382069)"
Kansas,USAToday,"Kansas, United States","(38.27312, -98.5821872)"
Columbia,USAToday,Colombia,"(4.099917, -72.9088133)"
Oklahoma,USAToday,"Oklahoma, United States","(34.9550817, -97.2684063)"
Michigan,USAToday,"Michigan, United States","(43.6211955, -84.6824346)"
Missouri,USAToday,"Missouri, United States","(38.7604815, -92.5617875)"
Chicago,USAToday,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Iowa,USAToday,"Iowa, United States","(41.9216734, -93.3122705)"
Texas,USAToday,"Texas, United States","(31.2638905, -98.5456116)"
Montana,USAToday,"Montana, United States","(47.3752671, -109.638757)"
Rosenberg,USAToday,"Rosenberg, Fort Bend County, Texas, 77471, United States","(29.5571825, -95.8085623)"
Ami,USAToday,"Selaparang Airport, Jalan Rumah Dinas BMG, Rumah Dinas BMG, Kel. Pejarakan Karya, Mataram, Kec. Selaparang, Nusa Tenggara Barat, Nusa Tenggara, 83125, Indonesia","(-8.5618359, 116.10222973992147)"
Bradley,USAToday,"Bradley County, East Tennessee, Tennessee, United States","(35.1694469, -84.855938)"
Livingston,USAToday,"Livingston County, Michigan, United States","(42.5924563, -83.9147925)"
Of,USAToday,"Of, Trabzon, Karadeniz Bölgesi, 61830, Türkiye","(40.947642, 40.2694068)"
March,USAToday,"March, Česko","(49.3597062, 17.3094202)"
Brigham,USAToday,"Brigham, Brome-Missisquoi, Estrie, Québec, J2K 4V6, Canada","(45.2463988, -72.8454198)"
Marshall,USAToday,"Marshall County, Minnesota, United States","(48.3605336, -96.381968)"
Best,USAToday,"Best, Noord-Brabant, Nederland","(51.5033671, 5.3938665)"
Most,USAToday,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
March,USAToday,"March, Česko","(49.3597062, 17.3094202)"
Florida,USAToday,"Florida, United States","(27.7567667, -81.4639835)"
Along,USAToday,"Along, Aalo HQ, West Siang, Arunachal Pradesh, India","(28.1698002, 94.79854)"
Most,USAToday,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Huntley,USAToday,"Huntley, McHenry County, Illinois, United States","(42.1722503, -88.42692)"
Livingston,USAToday,"Livingston County, Michigan, United States","(42.5924563, -83.9147925)"
Most,USAToday,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Oregon,USAToday,"Oregon, United States","(43.9792797, -120.737257)"
Colorado,USAToday,"Colorado, United States","(38.7251776, -105.607716)"
Florida,USAToday,"Florida, United States","(27.7567667, -81.4639835)"
Wyoming,USAToday,"Wyoming, United States","(43.1700264, -107.568534)"
Washington,USAToday,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
New York,USAToday,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Most,USAToday,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Elizabeth,USAToday,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Virginia,USAToday,"Virginia, United States","(37.1232245, -78.4927721)"
Delaware,USAToday,"Delaware, United States","(38.6920451, -75.4013315)"
Donna,USAToday,"Donna, Hidalgo County, Texas, 78537, United States","(26.1702082, -98.0522376)"
Maryland,USAToday,"Maryland, United States","(39.5162401, -76.9382069)"
Kansas,USAToday,"Kansas, United States","(38.27312, -98.5821872)"
Columbia,USAToday,Colombia,"(4.099917, -72.9088133)"
Oklahoma,USAToday,"Oklahoma, United States","(34.9550817, -97.2684063)"
Michigan,USAToday,"Michigan, United States","(43.6211955, -84.6824346)"
Missouri,USAToday,"Missouri, United States","(38.7604815, -92.5617875)"
Chicago,USAToday,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Iowa,USAToday,"Iowa, United States","(41.9216734, -93.3122705)"
Texas,USAToday,"Texas, United States","(31.2638905, -98.5456116)"
Montana,USAToday,"Montana, United States","(47.3752671, -109.638757)"
